City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
25,pokhara,28.2333,83.9833,18.48,41,54,2.52,NP,1675916774
26,constitucion,-35.3333,-72.4167,15.83,73,12,4.81,CL,1675916774
27,governador valadares,-18.8511,-41.9494,22.51,90,100,1.61,BR,1675916776
28,ilulissat,69.2167,-51.1,-23.99,70,53,2.06,GL,1675916778
29,cape town,-33.9258,18.4232,19.39,77,0,3.09,ZA,1675916675
30,dikson,73.5069,80.5464,-19.01,85,89,6.12,RU,1675916658
31,huambo,-12.7761,15.7392,13.35,77,97,0.75,AO,1675916781
32,atuona,-9.8,-139.0333,26.22,79,46,10.06,PF,1675916782
33,hilo,19.7297,-155.09,22.85,83,75,4.12,US,1675916783
34,kholuy,56.575,41.8692,-14.13,100,90,1.72,RU,1675916786
35,nikolskoye,59.7035,30.7861,1.94,93,100,4.63,RU,1675916600
36,wewak,-3.5534,143.6268,25.75,88,100,6.29,PG,1675916791
37,saint-philippe,-21.3585,55.7679,27.77,82,67,5.18,RE,1675916792
38,souillac,-20.5167,57.5167,28.21,74,75,7.2,MU,1675916603
39,ribeira grande,38.5167,-28.7,12.1,81,28,3.58,PT,1675916793
40,novo aripuana,-5.1206,-60.3797,23.28,98,96,0.7,BR,1675916794
41,geraldton,-28.7667,114.6,30.23,48,0,6.69,AU,1675916733
42,hermanus,-34.4187,19.2345,19.33,83,76,5.1,ZA,1675916674
43,bambous virieux,-20.3428,57.7575,28.14,74,75,7.2,MU,1675916698
44,punta arenas,-53.15,-70.9167,10.06,66,0,5.66,CL,1675916673
45,vanimo,-2.6741,141.3028,25.35,92,100,4.74,PG,1675916795
46,vaitape,-16.5167,-151.75,27.35,71,10,3.11,PF,1675916696
47,krapkowice,50.4752,17.9654,-6.4,68,3,4.99,PL,1675916796
48,paamiut,61.994,-49.6678,-1.86,87,100,11.17,GL,1675916797
49,ushuaia,-54.8,-68.3,8.81,93,20,2.57,AR,1675916668
50,kedzierzyn-kozle,50.3498,18.2261,-6.38,75,7,3.73,PL,1675916798
51,phayakkhaphum phisai,15.5163,103.1937,31.29,42,17,2.9,TH,1675916798
52,mayo,38.8876,-76.5119,10.07,72,0,2.06,US,1675916799
53,cherskiy,68.75,161.3,-35.19,98,100,3.2,RU,1675916570
54,busselton,-33.65,115.3333,27.94,35,0,1.3,AU,1675916684
55,asfi,32.2994,-9.2372,13.17,78,29,4.54,MA,1675916800
56,greeneville,36.1632,-82.831,11.66,87,0,0.0,US,1675916766
57,hamilton,39.1834,-84.5333,10.55,94,100,4.12,US,1675916629
58,yellowknife,62.456,-114.3525,-22.47,84,75,3.09,CA,1675916669
59,qaanaaq,77.484,-69.3632,-31.69,64,14,2.71,GL,1675916576
60,port elizabeth,-33.918,25.5701,20.73,97,100,1.03,ZA,1675916801
61,pevek,69.7008,170.3133,-34.47,100,100,3.05,RU,1675916802
62,hobart,-42.8794,147.3294,21.82,62,75,5.66,AU,1675916802
63,lata,40.1629,-8.3327,8.37,79,11,2.88,PT,1675916803
64,airai,-8.9266,125.4092,20.65,77,98,1.88,TL,1675916683
65,bredasdorp,-34.5322,20.0403,18.06,83,1,3.91,ZA,1675916590
66,khatanga,71.9667,102.5,-42.68,99,64,1.71,RU,1675916751
67,jiayuguan,39.8167,98.3,0.94,39,2,4.17,CN,1675916804
68,henties bay,-22.116,14.2845,17.8,88,89,2.23,NA,1675916805
69,lompoc,34.6391,-120.4579,12.55,83,0,5.14,US,1675916577
70,cayenne,4.9333,-52.3333,25.02,88,75,2.57,GF,1675916805
71,sol-iletsk,51.1631,54.9918,-13.25,94,100,2.85,RU,1675916806
72,bengkulu,-3.8004,102.2655,28.52,63,96,2.2,ID,1675916693
73,avarua,-21.2078,-159.775,28.03,74,75,5.66,CK,1675916763
74,collie,-33.3667,116.15,30.39,24,0,3.01,AU,1675916807
75,juruti,-2.1522,-56.0922,23.67,92,98,1.28,BR,1675916807
76,puerto baquerizo moreno,-0.9,-89.6,25.46,82,74,1.45,EC,1675916808
77,kodiak,57.79,-152.4072,-6.27,45,0,2.57,US,1675916809
78,srednekolymsk,67.45,153.6833,-32.88,96,100,2.89,RU,1675916809
79,chifeng,42.2683,118.9636,-1.96,34,100,3.29,CN,1675916806
80,sabang,5.8933,95.3214,27.69,74,76,6.06,ID,1675916810
81,bluff,-46.6,168.3333,14.33,56,77,8.33,NZ,1675916685
82,ponta do sol,32.6667,-17.1,14.28,72,44,3.04,PT,1675916811
83,wana,32.2989,69.5725,7.16,76,100,1.37,PK,1675916811
84,thompson,55.7435,-97.8558,-13.91,72,100,3.6,CA,1675916547
85,caravelas,-17.7125,-39.2481,23.97,87,41,2.33,BR,1675916589
86,hurricane,37.1753,-113.2899,9.46,45,4,2.29,US,1675916812
87,tigzirt,36.8886,4.1198,10.26,81,100,5.26,DZ,1675916813
88,saskylakh,71.9167,114.0833,-41.37,98,54,3.04,RU,1675916813
89,homer,59.6425,-151.5483,-7.06,86,0,0.0,US,1675916814
90,gainesville,29.6516,-82.3248,17.82,69,0,2.57,US,1675916541
91,humberto de campos,-2.5983,-43.4611,23.46,94,100,1.67,BR,1675916814
92,east london,-33.0153,27.9116,19.52,94,75,2.57,ZA,1675916763
93,torbay,47.6666,-52.7314,-1.45,94,100,6.69,CA,1675916622
94,bethel,41.3712,-73.414,4.97,65,0,0.45,US,1675916740
95,albany,42.6001,-73.9662,-0.99,80,81,1.23,US,1675916816
96,cabo san lucas,22.8909,-109.9124,20.28,46,49,0.77,MX,1675916682
97,miyazu,35.5333,135.1833,5.11,58,98,4.98,JP,1675916816
98,kavieng,-2.5744,150.7967,28.59,71,100,2.75,PG,1675916636
99,skibbereen,51.55,-9.2667,4.56,85,12,2.14,IE,1675916817
100,saint-donat-de-montcalm,46.3187,-74.2219,-5.65,95,99,2.58,CA,1675916817
101,lobito,-12.3481,13.5456,23.34,80,98,2.02,AO,1675916818
102,aban,56.67,96.06,-12.91,91,100,1.93,RU,1675916818
103,mingshui,36.7167,117.5,6.81,44,100,1.98,CN,1675916819
104,hithadhoo,-0.6,73.0833,27.54,72,77,4.35,MV,1675916819
105,gondanglegi,-7.7479,112.0132,29.41,72,80,1.57,ID,1675916820
106,muros,42.7762,-9.0603,6.02,87,0,4.33,ES,1675916821
107,mogadishu,2.0371,45.3438,24.93,88,40,7.2,SO,1675916626
108,yulara,-25.2406,130.9889,38.68,12,5,2.54,AU,1675916742
109,siniscola,40.5719,9.6922,4.75,78,95,3.0,IT,1675916822
110,faanui,-16.4833,-151.75,27.38,71,9,3.15,PF,1675916573
111,tasiilaq,65.6145,-37.6368,-14.91,54,96,4.36,GL,1675916750
112,havelock,34.8791,-76.9013,13.97,85,0,0.0,US,1675916825
113,bubaque,11.2833,-15.8333,23.42,66,1,4.73,GW,1675916826
114,kalmunai,7.4167,81.8167,26.54,79,99,3.66,LK,1675916767
115,kenora,49.8167,-94.4337,0.54,69,100,3.09,CA,1675916828
116,barrow,71.2906,-156.7887,-21.99,71,100,0.0,US,1675916671
117,puerto ayora,-0.7393,-90.3518,26.42,93,75,3.13,EC,1675916668
118,kabompo,-13.5927,24.2008,16.49,97,100,1.69,ZM,1675916830
119,matay,28.419,30.7792,8.62,59,48,3.9,EG,1675916831
120,half moon bay,37.4636,-122.4286,13.9,77,0,4.12,US,1675916805
121,harboore,56.6175,8.1807,5.08,88,100,12.33,DK,1675916833
122,la ronge,55.1001,-105.2842,-15.86,85,0,0.0,CA,1675916539
123,kadnikov,59.5022,40.338,-4.35,97,100,2.45,RU,1675916835
124,tuktoyaktuk,69.4541,-133.0374,-38.0,74,20,1.54,CA,1675916836
125,kayerkan,69.3497,87.7602,-19.71,84,100,3.12,RU,1675916837
126,grand-santi,4.25,-54.3833,21.95,100,100,1.06,GF,1675916838
